====================================================================================================
FG-CLIP Training - Detailed Batch Loss Log
====================================================================================================
Started at: 2025-10-18 10:51:49
Batch Size: 4
Gradient Accumulation Steps: 8
Effective Batch Size: 32
====================================================================================================

Epoch  Global_Step  Batch    Loss         Loss_Global  Loss_Region  Loss_Hard    LR           Time      
----------------------------------------------------------------------------------------------------
0      0            1        5.562500     3.593750     1.953125     0.000000     0.00e+00     2.05      
0      0            2        4.062500     2.687500     1.390625     0.000000     0.00e+00     1.25      
0      0            3        4.187500     2.562500     1.617188     0.000000     0.00e+00     1.25      
0      0            4        3.703125     2.312500     1.390625     0.000000     0.00e+00     1.26      
0      0            5        4.250000     2.875000     1.390625     0.000000     0.00e+00     1.23      
0      0            6        4.062500     2.687500     1.375000     0.000000     0.00e+00     1.23      
0      0            7        3.343750     1.953125     1.398438     0.000000     0.00e+00     1.25      
0      0            8        3.468750     2.078125     1.390625     0.000000     0.00e+00     1.35      
0      1            9        3.812500     2.437500     1.375000     0.000000     2.08e-07     1.24      
0      1            10       3.593750     2.203125     1.390625     0.000000     2.08e-07     1.26      
0      1            11       3.109375     1.726562     1.382812     0.000000     2.08e-07     1.25      
0      1            12       3.546875     2.156250     1.390625     0.000000     2.08e-07     1.28      
0      1            13       5.937500     4.531250     1.406250     0.000000     2.08e-07     1.25      
0      1            14       4.656250     3.000000     1.656250     0.000000     2.08e-07     1.23      
0      1            15       3.671875     2.265625     1.406250     0.000000     2.08e-07     1.26      
0      1            16       4.343750     2.953125     1.390625     0.000000     2.08e-07     1.26      
0      2            17       2.890625     1.500000     1.390625     0.000000     4.17e-07     1.25      
0      2            18       4.187500     2.406250     1.781250     0.000000     4.17e-07     1.26      
0      2            19       2.828125     1.453125     1.375000     0.000000     4.17e-07     1.27      
0      2            20       3.218750     1.843750     1.382812     0.000000     4.17e-07     1.28      
0      2            21       3.593750     2.234375     1.367188     0.000000     4.17e-07     1.53      
0      2            22       6.187500     4.375000     1.812500     0.000000     4.17e-07     1.24      
0      2            23       3.187500     1.789062     1.398438     0.000000     4.17e-07     1.24      
0      2            24       4.187500     2.781250     1.406250     0.000000     4.17e-07     1.26      
0      3            25       4.500000     3.078125     1.406250     0.000000     6.25e-07     1.25      
0      3            26       3.468750     2.062500     1.406250     0.000000     6.25e-07     1.25      
0      3            27       3.218750     1.828125     1.398438     0.000000     6.25e-07     1.27      
0      3            28       4.562500     3.156250     1.390625     0.000000     6.25e-07     1.27      
0      3            29       3.812500     2.406250     1.398438     0.000000     6.25e-07     1.25      
0      3            30       3.359375     1.968750     1.390625     0.000000     6.25e-07     1.24      
0      3            31       2.890625     1.484375     1.406250     0.000000     6.25e-07     1.24      
0      3            32       4.468750     2.859375     1.617188     0.000000     6.25e-07     1.26      
0      4            33       3.500000     2.078125     1.421875     0.000000     8.33e-07     1.25      
0      4            34       5.875000     4.437500     1.421875     0.000000     8.33e-07     1.25      
0      4            35       4.500000     3.093750     1.421875     0.000000     8.33e-07     1.27      
0      4            36       4.281250     2.656250     1.625000     0.000000     8.33e-07     1.26      
0      4            37       3.218750     1.835938     1.390625     0.000000     8.33e-07     1.25      
0      4            38       3.031250     1.625000     1.406250     0.000000     8.33e-07     1.24      
0      4            39       4.187500     2.218750     1.960938     0.000000     8.33e-07     1.24      
0      4            40       3.781250     2.375000     1.406250     0.000000     8.33e-07     1.29      
0      5            41       4.343750     2.750000     1.585938     0.000000     1.04e-06     1.24      
0      5            42       3.937500     2.546875     1.390625     0.000000     1.04e-06     1.27      
0      5            43       3.281250     1.890625     1.390625     0.000000     1.04e-06     1.28      
0      5            44       4.125000     2.718750     1.406250     0.000000     1.04e-06     1.27      
0      5            45       3.375000     1.734375     1.640625     0.000000     1.04e-06     1.24      
0      5            46       3.312500     1.929688     1.390625     0.000000     1.04e-06     1.26      
0      5            47       2.968750     1.593750     1.375000     0.000000     1.04e-06     1.25      
0      5            48       3.734375     2.343750     1.390625     0.000000     1.04e-06     1.28      
0      6            49       3.343750     1.976562     1.359375     0.000000     1.25e-06     1.26      
0      6            50       3.687500     2.265625     1.414062     0.000000     1.25e-06     1.27      
0      6            51       5.250000     3.843750     1.406250     0.000000     1.25e-06     1.27      
0      6            52       3.671875     2.281250     1.390625     0.000000     1.25e-06     1.26      
0      6            53       4.031250     2.625000     1.398438     0.000000     1.25e-06     1.26      
0      6            54       3.937500     2.531250     1.398438     0.000000     1.25e-06     1.24      
0      6            55       4.812500     3.406250     1.398438     0.000000     1.25e-06     1.22      
0      6            56       3.140625     1.750000     1.390625     0.000000     1.25e-06     1.28      
0      7            57       3.859375     2.500000     1.359375     0.000000     1.46e-06     1.25      
0      7            58       4.750000     3.125000     1.617188     0.000000     1.46e-06     1.24      
0      7            59       3.640625     2.250000     1.390625     0.000000     1.46e-06     1.26      
0      7            60       3.703125     2.062500     1.640625     0.000000     1.46e-06     1.27      
0      7            61       3.671875     2.281250     1.390625     0.000000     1.46e-06     1.26      
0      7            62       3.890625     2.531250     1.359375     0.000000     1.46e-06     1.26      
0      7            63       3.484375     2.093750     1.390625     0.000000     1.46e-06     1.24      
0      7            64       3.281250     1.906250     1.375000     0.000000     1.46e-06     1.27      
0      8            65       3.812500     2.421875     1.390625     0.000000     1.67e-06     1.26      
0      8            66       4.406250     3.015625     1.390625     0.000000     1.67e-06     1.51      
0      8            67       3.078125     1.687500     1.390625     0.000000     1.67e-06     1.28      
0      8            68       3.203125     1.828125     1.375000     0.000000     1.67e-06     1.27      
0      8            69       3.375000     1.984375     1.390625     0.000000     1.67e-06     1.28      
0      8            70       4.187500     2.781250     1.390625     0.000000     1.67e-06     1.25      
0      8            71       3.125000     1.718750     1.398438     0.000000     1.67e-06     1.24      
0      8            72       4.406250     2.765625     1.632812     0.000000     1.67e-06     1.26      
0      9            73       3.343750     1.960938     1.382812     0.000000     1.88e-06     1.27      
0      9            74       3.625000     1.656250     1.976562     0.000000     1.88e-06     1.29      
0      9            75       3.156250     1.773438     1.390625     0.000000     1.88e-06     1.25      
